id_examinee,math,history,geography,literature,civic_education,english
1000002,9.2,5.75,9.75,8.25,9.25,10
1000006,8,5,6.5,8.75,9.25,8.6
1000009,8,5.25,8,8,9,8.4
1000011,6,3,7.25,7.75,8.5,8.2
1000012,6.4,5.5,7,6.75,7.5,7.8
1000013,7.4,3.75,8.5,6.75,6.5,9
1000014,7.4,6,6.25,8,7.5,8.6
1000015,6,4,7.75,7.75,7,9
1000016,7.8,6.5,7.5,8.5,8,9.4
1000019,7,4,5.25,8.5,6.75,8.8
1000021,9,5,8,9,9.5,9.4
1000023,7.6,7,7.75,8.25,9.5,10
1000024,8.4,4.75,7.5,7.5,8.5,9.2
1000025,4.2,5,6.5,6.5,10,3.6
1000026,8.6,4.25,6.5,7,6.5,5.2
1000027,8,6,7,9,9.25,9.8
1000029,8.4,3.5,7.5,6,8,9.4
1000031,8.6,7,9.25,8.25,9.25,9.8
1000032,3.8,5.5,7.5,7.25,7.75,6.4
1000033,8.6,6.5,7,8.5,9.5,9.8
1000034,4.8,4.75,6.5,6.25,7.75,3.8
1000036,6.8,3.75,6.5,7.5,8,7
1000037,8,6.5,6.75,7.5,7.25,9.8
1000039,7,2.75,5,7.25,7.25,6.6
1000041,8.2,4.75,6.5,7,9,8.6
1000042,7.6,5.5,7.25,7.5,8.75,8.8
1000043,8,5.75,6.5,8.5,8.75,8.8
1000044,2.6,4.75,6,6.25,7.75,4.2
1000045,7.2,6,6,8,8.25,5.2
1000046,8.6,5.75,7.25,9.25,8.5,8.4
1000047,6.2,5.5,6.25,7.25,7.75,8.4
1000049,7.6,9,9.5,8.5,9.25,9.6
1000050,8.2,4.75,7,7.5,9,9.2
1000051,7.2,4.75,7.75,5.75,8.75,6
1000054,5,6,7.25,8.5,9.25,7
1000055,8.4,5.75,7.25,8.5,9.5,9.2
1000057,7.8,5,6.75,6,7.25,8.4
1000058,7.2,8.75,7.75,7.75,9,9.2
1000059,8.4,4.25,7.5,8.25,9.75,9
1000060,8,3.75,7.25,7.5,9.25,7.8
1000062,8.6,7.25,8.5,8.5,8.5,9.6
1000067,7.2,3.75,7.75,7.5,8,8.4
1000068,8,5.25,6.5,8.5,8.75,9.6
1000070,6.6,2.5,6,5.75,6,7.2
1000071,9,6,6.75,7.5,9.25,9.8
1000074,9,3,5.5,8,7.75,9.2
1000075,8,7.5,7.5,9,6.25,9.6
1000076,5.4,5.75,8,6.25,8.75,7.2
1000077,4.6,4.25,7.75,5.25,7,2.4
1000078,3.2,5.5,6.5,6.75,9.5,9.8
1000079,8,3.75,7.5,9.25,9,9.4
1000082,8.6,7,6.5,9.25,9.5,9.6
1000084,8,2.5,7,7.25,8.75,9
1000085,8.4,7,8.5,8.25,9.25,8.6
1000087,8.2,8.5,8.75,8.75,9.5,9.8
1000088,8.4,6.25,7.25,8.75,9,8.8
1000089,8,4.5,6.75,7.25,9,9.2
1000090,8.4,6.25,8.5,8,8.5,9.2
1000091,6,4.5,6,6.5,8,3.8
1000092,6.2,3.75,8,7.75,8.25,4
1000094,3.8,3.75,7.25,7,7.5,4.2
1000095,5.2,7.5,8,6,8.5,2.6
1000096,5.8,4.25,7,8,7.25,9.2
1000097,3.8,4.75,6.75,8.25,9,6.8
1000099,7.8,2.75,6.5,7.75,7.5,7.2
1000100,8.2,6.25,7.5,8.25,8.5,9
1000101,7.8,4.5,8,8,9,9.6
1000104,8.4,3.25,7.5,7.5,9.75,8.6
1000105,8.2,6.25,6.25,8.25,9.5,9
1000106,7.6,5.25,6.5,5.5,8.25,9.4
1000108,8.2,6.5,8,6.75,8.75,4.2
1000110,8.8,6.75,7.5,9.25,9.25,9.6
1000111,7.8,7.5,7.5,7.5,9.75,9.2
1000112,5.4,5.5,7,4.5,8.25,4.4
1000113,8.4,7.75,8.75,8.75,9.75,9.4
1000116,6.6,3,5.75,6.5,7.75,6.8
1000117,8.2,4.25,7.25,8,5.75,8.6
1000119,8.2,4,8,8.75,7.5,8.8
1000120,8.8,7.25,9.75,8.75,8.75,9.4
1000122,5.2,4,6.5,8.5,8.75,5.4
1000123,7,8,8.5,9,9,5.8
1000124,8,5,8,8.75,8.75,9.6
1000125,8.6,4.25,7.25,9,7.75,9.8
1000126,7.2,4.5,7,6.25,8.75,6
1000129,4.6,7.5,7.75,8,10,8.6
1000130,3.2,4.25,6.25,3.25,8.75,4.2
1000132,8.4,6.5,8,8.5,8.75,9.6
1000135,8.4,3.5,6.75,8.75,9.25,8.8
1000136,8.6,5.25,9.25,9,9.75,9.4
1000137,6.2,4.5,7.5,7.5,8.5,8.2
1000138,6.2,5,7.5,7,9,6.8
1000139,7.8,5.25,6.75,8.25,7.5,7.6
1000140,5.4,5.75,6,7.75,7.25,8
1000141,8.2,5.75,7.25,8,7.5,9.4
1000142,8,7.5,8.5,8,9.75,10
1000144,8,8,8.25,9,8.25,9.6
1000145,8.2,5.5,8,8.5,9,9.8
1000147,6.2,6,7.25,7.5,8,9.2
1000148,8.4,4,8,7.5,8.5,9.4
1000149,7.8,4.75,6.75,7.25,7.25,6.8
1000151,7.6,4.5,8.25,8.25,9,9.6
1000152,8.4,6.75,8.75,8.5,9.5,9.8
1000153,7.6,4.25,7.75,8,6.75,8.4
1000157,7.6,3.25,6,7.75,8,9
1000159,8.2,3,5.75,8.25,7.25,8.8
1000161,7.6,5.75,6.75,9,8.5,9
1000166,8,4.5,4.5,8.25,7.25,8.8
1000167,8.8,6.5,7,8.5,9.25,9.6
1000168,9,7.25,8.5,8.5,9.5,9.4
1000170,6.2,5.5,6.5,7.75,8.5,5.8
1000172,3.2,2.25,6.5,6.75,5.75,6.4
1000174,7.6,6,9.5,9,8.75,9.8
1000175,7.8,8,8,8,8.5,8.6
1000176,7.2,7.5,9,7.5,8.75,7.8
1000178,5.6,4.5,6.75,6.75,7,6.4
1000179,7.8,9.75,9,9,10,10
1000180,8.8,5.25,7.25,8.5,8,9.6
1000182,8.8,7.5,7.75,8.5,9.5,9.2
1000185,6,4.75,6.5,6,8.25,6.6
1000186,4.2,4.5,6.25,5.58,7.5,8.6
1000187,6.6,2,6,6.75,8.5,7.2
1000192,3.6,3.25,6.5,5.75,8,2.8
1000193,5.6,5.25,7.5,5.75,8.25,6.4
1000194,4,3.25,5,4.5,7.5,3.2
1000196,5.8,5.25,5.5,6.33,9,3
1000198,6.2,2.5,6,6.75,8.5,8
1000200,8,4.75,7.25,8.75,8,9.2
1000202,8.6,3.25,7.25,8.5,8.5,9.4
1000203,8.2,4.75,8,7,9.5,8.8
1000206,8.4,5,6.75,8,5.75,10
1000207,2.4,5,4.75,3.75,8,4.8
1000208,7.8,3.25,6.5,6.75,8,7
1000209,8.4,4.75,7.5,8.75,8.5,8.2
1000210,8.6,6.25,8,8.75,8.25,9.6
1000211,7,7.25,8.25,9,7.75,9.4
1000214,8,5.25,7.5,7.25,9,10
1000216,7.2,3.75,5.75,8,6.5,9.2
1000217,5.4,4.5,7.25,8.5,8.25,9.4
1000220,8.2,8.5,8.75,8.75,9.75,8.8
1000223,8.8,3.5,6.5,8.5,9.25,9.2
1000224,4,2.5,5.75,7.75,7.75,3.4
1000225,6.8,3.5,7,8.25,5.75,9
1000227,8.2,5,7.5,8.5,6.5,8
1000229,7.4,6.25,8.5,9,8,9
1000230,8.8,3.75,6.75,9,7.25,8.4
1000231,8.4,3,6.25,8,8,7
1000232,8.4,5.75,7.75,8.5,9.75,9.6
1000234,8,7,7,7.5,7,7.8
1000236,8.6,3,8.5,7,7.5,8.8
1000237,8.2,4.25,5.75,8.5,8.25,9.2
1000238,4.6,4.5,5,4.5,4.25,7
1000239,7.4,5.25,7,8,8.75,7.6
1000242,7.8,4.75,8.75,8.25,8.25,8.6
1000243,4.8,6,6.25,5.5,8.25,4.4
1000245,8.8,5.5,7.5,8,7,8.6
1000246,7.8,6.75,8,7.25,8.25,9
1000247,8.2,4.75,6.25,8.25,8.25,9.2
1000248,8.2,7.5,8.75,8.25,10,9.2
1000249,8.4,3.5,6.75,8,8.5,9
1000250,8.4,5,6.75,8.5,8.25,9.2
1000251,7.6,5.75,6.75,8.5,8.25,8.2
1000252,8,8,8.75,8.25,9.75,9.4
1000253,6.2,9,8,8,8,6.2
1000255,9.4,8,8.75,9,9.5,9.8
1000256,6.6,5,7.75,8.25,7.5,6.4
1000257,9,5.75,8.75,6.75,8.25,9
1000258,7.8,4,6.75,8.5,7.75,9
1000261,8.2,6.25,8,6.75,9.5,9.4
1000262,8,4.5,7.25,8,9,8.8
1000263,8.2,6.5,7.75,8,9,9.4
1000264,8.4,6.25,8.25,7.75,9,9
1000266,2.4,1.25,3.75,3.5,6.75,5.6
1000267,8.2,4.5,8.25,7.25,9.75,9.4
1000270,6.8,5,6.5,8.25,8.75,8.8
1000271,6.6,7.5,7,6.5,9,8
1000273,6.2,5.5,8.25,7.75,8.5,8
1000274,6.6,4.25,5,7,7.25,2.6
1000276,7.4,6.25,7,8,9.25,8.6
1000277,5.6,5,6.75,7.25,8,8
1000278,8.2,4,7.75,7.75,8.75,9.6
1000279,9,3.25,7.5,7.5,8.25,8
1000280,6.6,4.75,5.25,7.25,8.25,5.6
1000282,6.2,7,5.75,8.25,8.5,8
1000283,8.4,5.75,7.25,7.5,8.75,9.6
1000284,4.6,3.25,4.5,8.5,7.75,6.2
1000285,3.4,4,7.25,6.75,6.5,9.4
1000286,8.6,4.25,6.75,8,9,10
1000287,8.6,4.25,7.25,8,8,9
1000288,8.8,7.25,7.5,8.5,8.25,9
