Start,End,"Fuel-
Cycle","Sample
Point",Power,Power,Temp. Recirc,FW flow,Recirc flow,RWCU A flow,RWCU B flow,"Cond
""CIS""","Cond.
Recirc","Cond.
RWCU Inlet","Cond.
RWCU A","Cond.
RWCU B",H2-feedrate FW,O_rw,Fe_rw,Cr_rw,Cu_rw,Mn_rw,Co_rw,Ni_rw,Zn_rw,SiO2_rw,H3B03_rw,Pt_rw,Na_rw,Fe_fw,Co_fw,Zn_fw,Mn_fw
1/1/2007,1/7/2007,23,,100.0,"3,600",277,"1,986",89,9.8,9.8,0.076,0.074,0.077,0.056,0.057,,215,0.17,2.000,,,0.062,0.095,6.6,75,100,,,0.75,,0.25,
1/8/2007,1/14/2007,23,,100.0,"3,599",277,"1,986",88,9.8,9.8,0.076,0.075,0.077,0.057,0.057,,222,0.19,1.620,,,0.071,0.106,6.9,105,110,,,0.39,,0.24,
1/15/2007,1/21/2007,23,,100.0,"3,600",277,"1,986",88,9.8,9.8,0.077,0.075,0.078,0.057,0.057,,222,0.13,1.780,,,0.064,0.086,6.7,127,190,,,0.34,,0.24,
1/22/2007,1/28/2007,23,,99.2,"3,574",277,"1,970",87,9.7,9.8,0.077,0.076,0.078,0.058,0.058,,218,0.18,1.720,,,0.064,0.097,6.8,143,140,,,0.46,,0.24,
1/29/2007,2/4/2007,23,,100.0,"3,600",277,"1,986",90,9.5,9.6,0.078,0.075,0.078,0.058,0.058,,213,0.19,1.930,,,0.055,0.088,6.7,163,240,,,0.55,,0.25,
2/5/2007,2/11/2007,23,,100.0,"3,599",277,"1,986",89,9.4,9.5,0.079,0.075,0.079,0.057,0.057,,220,0.17,2.050,,,0.056,0.091,7.1,125,225,,,0.52,,0.25,
2/12/2007,2/18/2007,23,,100.0,"3,601",277,"1,986",89,9.6,9.8,0.078,0.073,0.079,0.056,0.056,,213,0.11,1.580,,,0.056,0.098,7.1,35,100,,,0.24,,0.26,
2/19/2007,2/25/2007,23,,100.0,"3,599",277,"1,985",88,9.6,9.8,0.076,0.074,0.077,0.056,0.056,,215,0.20,1.290,,,0.049,0.083,7.0,57,100,,,0.53,,0.25,
2/26/2007,3/4/2007,23,,100.0,"3,600",277,"1,986",88,9.7,9.8,0.076,0.074,0.077,0.057,0.056,,218,0.20,1.500,,,0.062,0.102,6.6,83,100,,,0.65,,0.25,
3/5/2007,3/11/2007,23,,50.1,"1,802",224,972,58,9.4,9.7,0.106,0.131,0.125,0.058,0.058,,193,0.21,1.900,,,0.069,0.100,6.8,97,100,,,0.67,,0.25,
3/12/2007,3/18/2007,23,,97.4,"3,506",276,"1,929",86,9.4,9.7,0.076,0.074,0.077,0.058,0.058,,192,,,,,,,,123,240,,,0.42,,0.25,
3/19/2007,3/25/2007,23,,100.0,"3,599",277,"1,987",89,9.4,9.7,0.078,0.076,0.079,0.059,0.058,,200,0.16,1.480,,,0.075,0.148,6.2,137,260,,,0.33,,0.24,
3/26/2007,4/1/2007,23,,100.0,"3,600",277,"1,987",89,8.3,9.6,0.079,0.077,0.080,0.098,0.057,,220,0.18,1.890,,,0.065,0.137,6.8,117,310,,,0.35,,0.26,
4/2/2007,4/8/2007,23,,100.0,"3,599",277,"1,987",90,9.8,9.7,0.077,0.075,0.078,0.056,0.056,,218,0.16,1.830,,,0.070,0.135,6.6,32,< 100,,,0.47,,0.26,
4/9/2007,4/15/2007,23,,100.0,"3,600",277,"1,987",90,9.8,9.7,0.076,0.074,0.077,0.057,0.057,,218,0.14,2.020,,,0.068,0.129,6.3,55,< 100,,,0.40,,0.25,
4/16/2007,4/22/2007,23,,100.0,"3,599",277,"1,987",91,9.8,9.7,0.077,0.074,0.077,0.057,0.057,,220,0.38,1.480,,,0.061,0.107,6.5,72,125,,,0.46,,0.25,
